"PositionID","PositionTitle","Department","Division","BusinessUnit","JobGrade","Criticality"
"CP-001","Assistant Manager - Procurement","People & Culture","Corporate","Corporate","G12","Medium"
"CP-002","Senior Manager - Supply Chain & Logistics","Supply Chain & Logistics","Supply Chain","Supply Chain","G11","High"
"CP-003","Assistant Manager - Farm Operations","Farm Operations","Operations","Operations","G10","Medium"
"CP-004","Assistant Manager - R&D","R&D","Operations","Operations","G10","Medium"
"CP-005","Senior Manager - IT & Digital","IT & Digital","Corporate","Corporate","G10","High"
"CP-006","Manager - Procurement","Procurement","Supply Chain","Supply Chain","G11","Medium"
"CP-007","Manager - Finance","Finance","Corporate","Corporate","G10","Medium"
"CP-008","Director - Marketing","Marketing","Commercial","Commercial","G13","Medium"
"CP-009","Assistant Manager - Sales & Distribution","Sales & Distribution","Commercial","Commercial","G10","Medium"
"CP-010","Senior Manager - Finance","Finance","Corporate","Corporate","G12","High"
"CP-011","Manager - Sales & Distribution","Sales & Distribution","Commercial","Commercial","G11","Medium"
"CP-012","Senior Manager - People & Culture","People & Culture","Corporate","Corporate","G10","High"
"CP-013","Head of Department - Marketing","Marketing","Commercial","Commercial","G14","Critical"
"CP-014","Manager - Farm Operations","Farm Operations","Operations","Operations","G11","Medium"
"CP-015","Chief Officer - Marketing","Marketing","Commercial","Commercial","G13","Critical"
"CP-016","Assistant Manager - Production","Production","Operations","Operations","G10","Medium"
"CP-017","Assistant Manager - Supply Chain & Logistics","Supply Chain & Logistics","Supply Chain","Supply Chain","G12","Medium"
"CP-018","Manager - Procurement","Procurement","Supply Chain","Supply Chain","G11","Medium"
"CP-019","Senior Manager - Finance","Finance","Corporate","Corporate","G10","High"
"CP-020","Manager - R&D","R&D","Operations","Operations","G10","Medium"
"CP-021","Senior Manager - Marketing","Marketing","Commercial","Commercial","G10","High"
"CP-022","Assistant Manager - Marketing","Marketing","Commercial","Commercial","G11","Medium"
"CP-023","Senior Manager - Finance","Finance","Corporate","Corporate","G10","High"
"CP-024","Manager - Finance","Finance","Corporate","Corporate","G11","Medium"
"CP-025","Manager - People & Culture","People & Culture","Corporate","Corporate","G10","Medium"
"CP-026","Manager - Sales & Distribution","Sales & Distribution","Commercial","Commercial","G10","Medium"
"CP-027","Manager - Quality Assurance & Food Safety","Quality Assurance & Food Safety","Operations","Operations","G10","Medium"
"CP-028","Senior Manager - IT & Digital","IT & Digital","Corporate","Corporate","G11","High"
"CP-029","Vice President - Supply Chain & Logistics","Supply Chain & Logistics","Supply Chain","Supply Chain","G14","Medium"
"CP-030","Assistant Manager - Finance","Finance","Corporate","Corporate","G10","Medium"
"CP-031","Assistant Manager - Finance","Finance","Corporate","Corporate","G11","Medium"
"CP-032","Manager - Procurement","Procurement","Supply Chain","Supply Chain","G10","Medium"
"CP-033","Senior Manager - R&D","R&D","Operations","Operations","G10","High"
"CP-034","Senior Manager - R&D","R&D","Operations","Operations","G10","High"
"CP-035","Manager - Procurement","Procurement","Supply Chain","Supply Chain","G10","Medium"
"CP-036","Manager - Sales & Distribution","Sales & Distribution","Commercial","Commercial","G10","Medium"
"CP-037","Assistant Manager - Production","Production","Operations","Operations","G10","Medium"
"CP-038","Senior Manager - R&D","R&D","Operations","Operations","G10","High"
"CP-039","Senior Manager - IT & Digital","IT & Digital","Corporate","Corporate","G12","High"
"CP-040","Senior Manager - R&D","R&D","Operations","Operations","G12","High"
"CP-041","Manager - Quality Assurance & Food Safety","Quality Assurance & Food Safety","Operations","Operations","G10","Medium"
"CP-042","Manager - Production","Production","Operations","Operations","G10","Medium"
"CP-043","Chief Officer - Quality Assurance & Food Safety","Quality Assurance & Food Safety","Operations","Operations","G13","Critical"
"CP-044","Manager - Corporate & Executive Office","Corporate & Executive Office","Corporate","Corporate","G11","Medium"
"CP-045","Senior Manager - Production","Production","Operations","Operations","G11","High"
